Object ID,Title,Period,Medium,Image,Image Download Link,Object URL,Artist
16344,bowl,19th century,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_82_img1.jpg,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_82_img1.jpg,https://www.metmuseum.org/art/collection/search/208291,unknown
16345,dish with flowers and birds,18th century,hard-paste porcelain (jingdezhen ware),https://images.metmuseum.org/CRDImages/es/original/DP-15122-074.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-15122-074.jpg,https://www.metmuseum.org/art/collection/search/208302,unknown
16346,dish with the chinese story of sima guang,ca. 1700–1720,hard-paste porcelain painted with colored enamels over transparent glaze (hizen ware; kakiemon type),https://images.metmuseum.org/CRDImages/es/original/DP-15122-076.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-15122-076.jpg,https://www.metmuseum.org/art/collection/search/208304,unknown
16347,cup and saucer with the chinese story of sima guang,1700–1730,hard-paste porcelain decorated with colored enamels over transparent glaze (jingdezhen ware),https://images.metmuseum.org/CRDImages/es/original/DP-15122-078.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-15122-078.jpg,https://www.metmuseum.org/art/collection/search/208306,unknown
16348,bowl with rocks and trees,ca. 1700–1710,hard-paste porcelain with colored enamels over transparent glaze (hizen ware; kakiemon type),https://images.metmuseum.org/CRDImages/es/original/ES5494.jpg,https://images.metmuseum.org/CRDImages/es/original/ES5494.jpg,https://www.metmuseum.org/art/collection/search/208308,unknown
16349,dish,ca. 1700,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/ES5509.jpg,https://images.metmuseum.org/CRDImages/es/original/ES5509.jpg,https://www.metmuseum.org/art/collection/search/208315,unknown
16350,teabowl and saucer with quail and peonies,ca. 1710–30,hard-paste porcelain painted with colored enamels over transparent glaze (jingdezhen ware),https://images.metmuseum.org/CRDImages/es/original/260540.jpg,https://images.metmuseum.org/CRDImages/es/original/260540.jpg,https://www.metmuseum.org/art/collection/search/208323,unknown
16351,dish,18th century (?),hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_120.jpg,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_120.jpg,https://www.metmuseum.org/art/collection/search/208325,unknown
16352,dish,ca. 1730,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_126.jpg,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_126.jpg,https://www.metmuseum.org/art/collection/search/208331,unknown
16353,plate,ca. 1730–40,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/DP23003.jpg,https://images.metmuseum.org/CRDImages/es/original/DP23003.jpg,https://www.metmuseum.org/art/collection/search/208332,unknown
